Tên sản phẩm,Số sao,Xuất xứ,Loại sản phẩm,Hệ thống phân phối,Từ khóa,Trang Web,Mô tả
Giò lụa ngũ sắc Cao Thủy,3,Hà Tĩnh,Giò chả,"Bán trực tiếp tại cơ sở, các đại lý, qua sàn thương mại điện tử, website","đặc sản Hà Tĩnh, Giò lụa ngũ sắc Cao Thủy, OCOP 3 sao, OCOP Hà Tĩnh, giò lụa",,"Một khoanh giò lụa ngũ sắc Cao Thủy gồm giò lụa mềm mịn, trứng muối béo ngậy, mặn, đậu Hà Lan xốp mềm, vị ngọt thanh từ cà rốt hòa quyện cùng mùi thơm của mộc nhĩ, nấm hương và cả lớp trứng chiên vàng phía ngoài. Tất cả tạo nên hương vị đặc biệt, cuốn hút cho sản phẩm giò lụa ngũ sắc Cao Thủy. Sản phẩm đã được công nhận OCOP 3 sao của tỉnh Hà Tĩnh vào tháng 6/2023."
Giò me Chín Hồng,3,Hà Tĩnh,Giò chả,"cơ sở sản xuất, các đại lý, sàn thương mại điện tử","Giò me Chín Hồng, giò me, đặc sản Hà Tĩnh, OCOP Hà Tĩnh, OCOP 3 sao",,"Giò me Chín Hồng có vị ngọt, thơm, là đặc sản được ưa chuộng tại Hà Tĩnh. Sản phẩm đã được công nhận OCOP 3 sao của tỉnh Hà Tĩnh."
Nấm Thương Huyền,3,Hà Tĩnh,Nấm,"cơ sở sản xuất, các đại lý, sàn thương mại điện tử","Nấm Thương Huyền, OCOP Hà Tĩnh, OCOP 3 sao, đặc sản Hà Tĩnh, nấm rơm",,"Nấm nhãn hiệu Thương Huyền được sản xuất từ những nguyên liệu địa phương Hà Tĩnh như: rơm, cám ngô, cám gạo… với tỷ lệ phối trộn thích hợp, cơ sở tuân thủ thời gian thu hái theo quy trình kỹ thuật nên chất lượng nấm hiện tại được đánh giá là đẹp, dai mà giòn ngọt. Sản phẩm đã được công nhận OCOP 3 sao của tỉnh Hà Tĩnh năm 2023."
Bánh đa Ninh Cường,3,Hà Tĩnh,Bánh đa,"cơ sở sản xuất, các đại lý, sàn thương mại điện tử","Bánh đa Ninh Cường, Bánh đa, OCOP 3 sao, OCOP Hà Tĩnh, đặc sản Hà Tĩnh",,"Bánh đa Ninh Cường là sản phẩm chất lượng được kết hợp bởi công thức gia truyền với dây chuyền sản xuất tiên tiến, tạo nên hương vị đặc trưng riêng. Bánh đa khi ăn giòn rụm, có hương vị béo ngậy của vừng, bùi bùi của gạo, và đậm đà của muối. Sản phẩm được Ủy ban nhân dân tỉnh Hà Tĩnh chứng nhận đạt chuẩn OCOP 3 sao vào năm 2022."
Nước mắm Bà Thinh,3,Hà Tĩnh,,"https://hatiplaza.com/, buu dien.vn, các đại lý, sàn thương mại điện tử","Nước mắm Bà Thinh, nước mắm, OCOP Hà Tĩnh, OCOP 3 sao, đặc sản Hà Tĩnh",,"Nước mắm Bà Thinh 40 độ đạm được làm hoàn toàn từ nguồn cá cơm giàu đạm theo quy trình sản xuất truyền thống, hoàn toàn không chứa chất bảo quản nên tốt cho sức khỏe của người tiêu dùng. Sản phẩm đã được Ủy ban nhân dân tỉnh Hà Tĩnh công nhận OCOP 3 sao từ năm 2019 và đã được công nhận lại OCOP 3 sao vào năm 2023."
Trầm hương Khánh Duy,3,Hà Tĩnh,Trầm hương,"cơ sở sản xuất, các đại lý, sàn thương mại điện tử","OCOP 3 sao, OCOP Hà Tĩnh, trầm hương, trầm hương Khánh Duy, đặc sản Hà Tĩnh",,Trầm hương Khánh Duy là sản phẩm được làm từ nguyên liệu bột cây dó trầm nguyên chất kết hợp với nước và keo bời lời (loại cây tự nhiên có khả năng kết dính không độc hại) cho vào khuôn. Sản phẩm được Ủy ban nhân dân tỉnh Hà Tĩnh chứng nhận đạt chuẩn OCOP 3 sao vào năm 2022.
Hương trầm cao cấp Thọ Nga,3,Hà Tĩnh,Trầm hương,"cơ sở sản xuất, các đại lý, sàn thương mại điện tử","Hương trầm cao cấp Thọ Nga, Hương trầm, OCOP 3 sao, OCOP Hà Tĩnh",,Hương trầm cao cấp Thọ Nga được làm từ bột cây dó trầm nguyên chất kết hợp với keo bời lời (loại cây tự nhiên có khả năng kết dính không độc hại thường được sử dụng để làm hương) và sử dụng tăm tre tự nhiên không ngâm hóa chất. Sản phẩm được chứng nhận đạt chuẩn OCOP 3 sao vào năm 2023.
Tinh dầu tràm HT,3,Hà Tĩnh,Tinh dầu tràm,"cơ sở sản xuất, các đại lý, sàn thương mại điện tử","Tinh dầu tràm HT, OCOP Hà Tĩnh, OCOP 3 sao, tinh dầu tràm, đặc sản Hà Tĩnh",,"Tinh dầu tràm HT được làm từ lá tràm tươi nguyên chất, được chưng cất theo phương pháp truyền thống, không sử dụng các chất bảo quản, tạo mầu, tạo mùi. Sản phẩm đã được chứng nhận OCOP 3 sao của tỉnh Hà Tĩnh."
Giò lụa Song Anh,3,Hà Tĩnh,Giò lụa,"cơ sở sản xuất, các đại lý, sàn thương mại điện tử","Giò lụa Song Anh, Giò lụa, OCOP 3 sao, OCOP Hà Tĩnh, đặc sản Hà Tĩnh",,"Khoanh giò lụa Song Anh có màu trắng ngà hơi ngả sang màu hồng nhạt, bề mặt mịn màng. Từng miếng giò có độ dai, giòn, mùi vị đậm đà, nguyên liệu được chọn lựa kỹ càng, không chất bảo quản. Sản phẩm được công nhận đạt chuẩn OCOP 3 vào năm 2023."
Hương bài thảo mộc Giáp Thủy,3,Hà Tĩnh,Trầm hương,"cơ sở sản xuất, các đại lý, sàn thương mại điện tử","Hương bài thảo mộc Giáp Thủy, Hương bài, OCOP 3 sao, OCOP Hà Tĩnh, đặc sản Hà Tĩnh",,"Hương bài thảo mộc Giáp Thủy được làm từ cây hương bài phối hợp một số thảo mộc như quế, hồi, thuốc bắc, cam thảo, thảo quả, bã mía và một số nguyên liệu thảo mộc khác để phối trộn tạo thành sản phẩm hương nhang có mùi thơm rất đặc trưng và tạo cảm giác dễ chịu cho người sử dụng. Sản phẩm được chứng nhận đạt chuẩn OCOP 3 sao vào năm 2020 và được công nhận lại vào năm 2024."
Rượu đông trùng hạ thảo Thiên Tâm,3,Hà Tĩnh,Rượu,"cơ sở sản xuất, các đại lý, sàn thương mại điện tử","Rượu Đông trùng hạ thảo Thiên Tâm, Rượu Đông trùng hạ thảo, OCOP 3 sao, OCOP Hà Tĩnh, đông trùng hạ thảo, đặc sản Hà Tĩnh",,"Rượu đông trùng hạ thảo Thiên Tâm có nồng độ êm, ngọt dịu, dễ uống, rượu được ngâm từ đông trùng hạ thảo tươi và rượu nếp. Sản phẩm được Ủy ban nhân dân tỉnh Hà Tĩnh chứng nhận đạt chuẩn OCOP 3 sao năm 2022."
Đông trùng hạ thảo Thiên Tâm,3,Hà Tĩnh,Đông trùng hạ thảo,"Trong và ngoài tỉnh, sàn thương mại điện tử","OCOP 3 sao, OCOP Hà Tĩnh, đông trùng hạ thảo Thiên Tâm, đông trùng hạ thảo, đặc sản Hà Tĩnh",,"Đông trùng hạ thảo Thiên Tâm được sấy theo công nghệ sấy thăng hoa, giữ nguyên được tính chất cũng như màu sắc của đông trùng hạ thảo. Hàm lượng Cordycepin đạt 192mg/100g và hàm lượng Andenosin đạt 74,3mg/100g, đạt cao trong ngưỡng tiêu chuẩn. Sản phẩm được Ủy ban nhân dân tỉnh Hà Tĩnh cấp chứng nhận đạt chuẩn OCOP 3 sao năm 2022."
Tinh dầu sả chanh Bảo Tuân,3,Hà Tĩnh,Tinh dầu,"cơ sở sản xuất, các đại lý, sàn thương mại điện tử","Tinh dầu sả chanh Bảo Tuân, Tinh dầu sả chanh, OCOP 3 sao, OCOP Hà Tĩnh, tinh dầu, đặc sản Hà Tĩnh",,"Tinh dầu sả chanh Bảo Tuân được chiết xuất từ lá và thân cây sả chanh được trồng hoàn toàn tự nhiên trên các sườn đồi. Tinh dầu có nhiều công dụng tốt cho sức khỏe như: giải phóng căng thẳng, tăng cường hệ miễn dịch, diệt khuẩn trong không khí… Sản phẩm được Ủy ban nhân dân Hà Tĩnh chứng nhận đạt chuẩn OCOP 3 sao năm 2022."
Tinh dầu trện Bảo Tuân,3,Tuyên Quang,Tinh dầu,"cơ sở sản xuất, các đại lý, sàn thương mại điện tử","Tinh dầu trện Bảo Tuân, Tinh dầu trện, OCOP 3 sao, OCOP Hà Tĩnh, tinh dầu",,"Tinh dầu trện Bảo Tuân được chiết xuất từ lá và hoa cây chổi trện (chổi xể), bảo đảm an toàn. Tinh dầu trện có tác dụng tán phong hàn, khai khiếu, giúp tiêu hóa tốt, thông huyết mạch, sát khuẩn. Sản phẩm được Ủy ban nhân dân Hà Tĩnh chứng nhận đạt chuẩn OCOP 3 sao vào năm 2022."
Bánh tráng gạo Đại Cường,3,Đà Nẵng,Bánh tráng,"cơ sở sản xuất, các đại lý, sàn thương mại điện tử","Bánh tráng gạo Đại Cường, OCOP 3 sao, OCOP Đà Nẵng, đặc sản Đà Nẵng, bánh tráng",,"Nhiều năm qua, bánh tráng gạo Đại Cường với từ nguồn nguyên liệu gạo tại địa phương, được đông đảo khách hàng yêu mến và chọn lựa vì có hương vị truyền thống, mẫu mã bắt mắt, chất lượng. Sản phẩm đạt chứng nhận OCOP 3 sao của thành phố Đà Nẵng."
Trà mãng cầu Kim Nhiên,4,Cần Thơ,,"https://tramangcaukimnhien.com/, các đại lý, siêu thị, sàn thương mại điện tử","OCOP 4 sao, OCOP Cần Thơ, trà mãng cầu xiêm, đặc sản Cần Thơ, trà mãng cầu xiêm Kim Nhiên",https://tramangcaukimnhien.com/,"Trà mãng cầu được sử dụng như là một vị thuốc tiêu độc, kháng khuẩn trong y học dân tộc. Trà Mãng cầu còn có hỗ trợ hạ men gan, mát gan, thanh nhiệt, giải độc cơ thể, cải thiện chất lượng giấc ngủ, cho người dùng giấc ngủ ngon. Ngoài ra, trà còn hỗ trợ trị bệnh tiểu đường, giảm axit uric, giảm cholesterol trong máu... Đây là sản phẩm OCOP 4 sao của thành phố Cần Thơ."
Ngọc trai Thành Quỳnh Giang,3,Hà Tĩnh,,"cơ sở sản xuất, https://hatinhtrade.com.vn/","ngọc trai Thành Quỳnh Giang, ngọc trai, OCOP Hà Tĩnh, OCOP 3 sao",,"Với tiêu chí nổi bật sự tinh tế, sang trọng nhưng không kém phần hiện đại, trẻ trung, các nghệ nhân của Ngọc trai Thành Quỳnh Giang đã kết hợp khéo léo những viên ngọc trai mang vẻ đẹp thuần khiết cùng những đường nét thiết kế hiện đại tạo nên những sản phẩm sang trọng, tinh tế nhưng lại có tổng thể hài hòa tôn lên vẻ đẹp nổi bật và sự cao quý của viên ngọc trai. Sản phẩm được chứng nhận OCOP 3 sao của tỉnh Hà Tĩnh."
Nước mắm Sành-Ngọc Tích,3,Hà Tĩnh,,"https://nuocmamsanhngoctich.com/, các đại lý, sàn thương mại điện tử","Nước mắm Sành-Ngọc Tích, OCOP 3 sao, OCOP Hà Tĩnh, nước mắm, đặc sản Hà Tĩnh",http:nuocmamsanhngoctich.com,"Nước mắm Sành-Ngọc Tích được tuyển chọn từ cá cơm tươi nguyên chất đánh bắt từ vùng biển Hà Tĩnh cùng muối tinh sạch, ủ hơn 24 tháng trong chum vại sành. Sự thơm ngon, đậm vị của mắm được tạo ra từ sự kết hợp hoàn hảo của tinh hoa trời đất và sự cần cù của người dân. Nước mắm Sành-Ngọc Tích đạt chứng nhận OCOP 3 sao năm 2023 của tỉnh Hà Tĩnh."
Nước mắm Vân Thọ,3,Hà Tĩnh,,"http://nuocmamvantho.com/, các đại lý, sàn thương mại điện tử","Nước mắm Vân Thọ, OCOP 3 sao, OCOP Hà Tĩnh, Nước mắm, đặc sản Hà Tĩnh",http:://nuocmamvantho.com,"Nước mắm Vân Thọ được sản xuất theo phương pháp truyền thống, không sử dụng bất cứ chất phụ gia hay chất bảo quản nào. Cá lên men trong chum, được phơi, khuấy đảo hằng ngày. Sản phẩm có màu vàng cánh gián, không có cặn hoặc tạp chất trôi nổi lơ lửng, khi ăn sẽ có vị mặn ban đầu, sau đó có vị ngọt thơm của đạm cá... Sản phẩm đã được công nhận OCOP 3 sao của Hà Tĩnh."
Mật ong ngâm hoa đu đủ đực Mạnh Hùng,3,Hà Tĩnh,Hoa đu đủ ngân mật ong,,"mật ong, Mật ong ngâm hoa đu đủ đực Mạnh Hùng, OCOP Hà Tĩnh, OCOP 3 sao, đặc sản Hà Tĩnh",,"Mật ong ngâm hoa đu đủ đực Mạnh Hùng là sản phẩm kết hợp giữa mật ong rừng nguyên chất và hoa đu đủ đực. Vị ngọt dịu dễ uống là loại kháng sinh tự nhiên có công dụng tăng sức đề kháng chống lại nhiều bệnh tật, đặc biệt hữu hiệu trong việc trị bệnh ho. Sản phẩm đã được công nhận OCOP 3 sao của tỉnh Hà Tĩnh."
Nước chấm Thanh Mai,3,Hà Tĩnh,,,"Nước chấm Thanh Mai, nước chấm, OCOP Hà Tĩnh, OCOP 3 sao, đặc sản Hà Tĩnh",,"Với hương vị cay nồng nàn, nước chấm Thanh Mai được làm từ 10 loại nguyên liệu trên 3 tiêu chí: sạch-tươi-ngon. Sản phẩm đã được công nhận OCOP 3 sao của tỉnh Hà Tĩnh."
Hồng Bình Du,3,Hà Tĩnh,Quả hồng,,"OCOP Hà Tĩnh, OCOP 3 sao, hồng giòn, đặc sản Hà Tĩnh, hồng Bình Du, hồng ngâm",,"Hồng Bình Du có vị ngọt đặc trưng, đặc biệt là rất giòn và không có hạt. Điều này đã tạo nên thương hiệu riêng cho giống hồng này, ăn một lần là du khách ấn tượng và nhớ mãi. Sản phẩm đã được tỉnh Hà Tĩnh công nhận OCOP 3 sao vào tháng 2/2022."
Trà Thảo Nguyên,3,Hà Tĩnh,,"cơ sở sản xuất, các đại lý, sàn thương mại điện tử","Trà Thảo Nguyên, OCOP 3 sao, OCOP Hà Tĩnh, trà xanh, đặc sản Hà Tĩnh",,"Trà Thảo Nguyên được sản xuất từ 100% búp chè xanh Hương Sơn nguyên chất đạt tiêu chuẩn VietGAP. Trà khi pha có màu nước xanh trong, hương thơm nhẹ nhàng, thanh khiết, vị chát nơi đầu lưỡi, vị ngọt lưu luyến mới đem đến cho người thưởng thức một tinh thần sảng khoái, thư thái. Sản phẩm được chứng nhận đạt chuẩn OCOP 3 sao vào tháng 2/2022."
Trà hòa tan đinh lăng Hygie,4,Cần Thơ,,"https://duoclieumientay.com/, các siêu thị, sàn thương mại điện tử","Trà hòa tan Đinh lăng Hygie, OCOP 4 sao, OCOP Cần Thơ, trà đinh lăng, đặc sản Cần Thơ, Hygie & Panacee",https://duoclieumientay.com/,"Trà hòa tan đinh lăng Hygie được chiết xuất từ lá và rễ cây đinh lăng giúp tăng sức đề kháng của cơ thể, tăng sự dẻo dai, giảm mệt mỏi, tăng cường chức năng hoạt huyết dưỡng não, giúp giảm chứng hay quên, rối loạn tiền đình, chóng mặt, giúp ngủ ngon, đồng thời lợi sữa cho mẹ cho con bú. Sản phẩm được công nhận OCOP 4 sao của thành phố Cần Thơ."
Trà hòa tan rau om tía,4,Cần Thơ,,"https://duoclieumientay.com/, các siêu thị, sàn thương mại điện tử","OCOP 4 sao, OCOP Cần Thơ, trả hòa tan, trà hòa tan rau om tía, đặc sản Cần Thơ, Dược liệu Miền Tây, Hygie and Panacee",https://duoclieumientay.com/,"Trà hòa tan rau om tía được sản xuất từ dịch chiết cô đặc từ 100% rau om tía tươi, ở dạng bột hòa tan tiện lợi, thơm ngon dễ uống. Trà hỗ trợ thanh nhiệt cơ thể, giải độc, giảm các cơn đau do co thắt, lợi tiểu, hỗ trợ đào thải sỏi thận và chống tái phát sỏi,… và đã được công nhận OCOP 4 sao của thành phố Cần Thơ."
Trà hòa tan diếp cá Hygie,4,Cần Thơ,,"https://duoclieumientay.com/, các siêu thị, sàn thương mại điện tử","Trà hòa tan diếp cá Hygie, OCOP 4 sao, OCOP Cần Thơ, đặc sản Cần Thơ, trà diếp cá, Hygie & Panacee", https://duoclieumientay.com/,"Trà hòa tan diếp cá Hygie được chế biến từ rau diếp cá tươi, được chiết xuất và cô đặc tạo thành dạng bột hòa tan. Trà có tác dụng thải độc tiêu hóa, mát gan, nóng trong, trị mụn trứng cá, hỗ trợ hiệu quả trong việc điều trị bệnh trĩ, giảm cân. Sản phẩm đã được công nhận OCOP 4 sao của thành phố Cần Thơ."
Trà hòa tan gừng mật ong Hygie,4,Cần Thơ,,"https://duoclieumientay.com/, các siêu thị, sàn thương mại điện tử","Trà hòa tan gừng mật ong Hygie, OCOP 4 sao, OCOP Cần Thơ, Hygie & Panacee, đặc sản Cần Thơ, trà gừng",https://duoclieumientay.com/,"Trà hòa tan gừng mật ong Hygie được chiết xuất từ gừng tươi và mật ong, giúp hỗ trợ rất tốt cho tiêu hóa, phòng trừ cảm cúm, tăng sức đề kháng, tăng miễn dịch cho cơ thể, xoa dịu cơn đau đầu và giúp giảm đau do kinh nguyệt... Sản phẩm được công nhận OCOP 4 sao của thành phố Cần Thơ năm 2022."
